,ABB.ST.csv_AdjClose,ALFA.ST.csv_AdjClose,ALIV-SDB.ST.csv_AdjClose,ASSA-B.ST.csv_AdjClose,ATCO-A.ST.csv_AdjClose,ATCO-B.ST.csv_AdjClose,AZN.ST.csv_AdjClose,BOL.ST.csv_AdjClose,ELUX-B.ST.csv_AdjClose,ERIC-B.ST.csv_AdjClose,ESSITY-B.ST.csv_AdjClose,GETI-B.ST.csv_AdjClose,HEXA-B.ST.csv_AdjClose,HM-B.ST.csv_AdjClose,INVE-B.ST.csv_AdjClose,KINV-B.ST.csv_AdjClose,SAND.ST.csv_AdjClose,SCA-B.ST.csv_AdjClose,SEB-A.ST.csv_AdjClose,SECU-B.ST.csv_AdjClose,SHB-A.ST.csv_AdjClose,SKA-B.ST.csv_AdjClose,SKF-B.ST.csv_AdjClose,SSAB-A.ST.csv_AdjClose,SWED-A.ST.csv_AdjClose,SWMA.ST.csv_AdjClose,TEL2-B.ST.csv_AdjClose,TELIA.ST.csv_AdjClose,VOLV-B.ST.csv_AdjClose,XOMX30.csv_AdjClose
181,214.100006,234.0,777.539856,182.75,251.75,231.69999700000002,664.851135,232.69999700000002,182.42652900000002,76.828201,227.85981800000002,105.393143,513.409058,137.557648,400.590332,267.0,152.899994,98.791389,89.568451,157.0,100.67398100000001,171.88140900000002,165.31991599999998,40.946796,189.382202,457.933746,113.050003,38.868652000000004,147.672821,1625.449951
182,214.399994,236.5,785.127625,182.550003,254.350006,234.100006,661.756958,241.94999700000002,184.68583700000002,76.946793,225.90309100000002,105.789925,518.003784,137.09226999999998,403.16391,274.100006,156.050003,98.350792,89.530975,156.25,100.768784,172.364227,169.11982700000002,42.435593,188.752121,446.602661,112.099998,38.8592,149.123901,1630.5
183,213.5,242.100006,813.8809809999999,181.0,256.649994,236.80000299999998,658.363342,245.25,185.166534,76.156174,225.022583,107.77379599999999,522.398743,138.37205500000002,406.62838700000003,277.299988,159.149994,98.252876,91.08624300000001,154.199997,103.897064,172.895325,172.67923000000002,43.040718,191.722473,448.16555800000003,111.699997,38.821369,152.413055,1645.839966
184,214.69999700000002,248.100006,820.86969,180.850006,259.549988,240.149994,660.459412,245.19999700000002,186.560577,76.70961,230.59922799999998,108.468147,525.195496,140.582596,415.635986,273.799988,160.449997,98.889297,92.191795,153.75,104.655441,173.522964,173.689331,42.944664,194.422791,447.09106399999996,112.550003,39.001057,155.025024,1662.319946
185,212.19999700000002,243.80000299999998,802.898804,180.300003,258.450012,236.80000299999998,662.6552730000001,244.5,186.993195,77.875771,225.12042200000002,106.98024,520.401001,143.956573,406.529419,271.700012,158.899994,99.770493,91.723343,154.550003,104.56064599999999,169.80531299999998,172.198227,42.666115000000005,193.972748,446.016571,112.150002,38.783543,153.912521,1655.01001
186,211.0,243.5,773.147034,179.399994,258.450012,237.30000299999998,678.0263669999999,244.25,185.983719,79.140755,225.022583,106.732254,519.002625,143.239136,409.004028,271.600006,158.199997,99.085114,92.191795,154.600006,105.31901599999999,168.887955,171.236221,44.078075,196.04298400000002,444.35595700000005,112.800003,38.963229999999996,153.138611,1656.709961
187,210.69999700000002,244.80000299999998,782.332092,179.25,258.100006,237.44999700000002,686.909729,241.69999700000002,187.041275,78.56755799999999,225.022583,102.66532099999999,519.402161,143.956573,409.004028,267.399994,158.300003,99.378845,93.03501899999999,154.899994,104.987228,168.308594,171.621017,43.232819,196.40303,446.602661,110.900002,39.001057,152.945129,1658.290039
188,210.5,245.399994,777.539856,180.0,259.049988,239.649994,696.990784,241.399994,187.521973,78.82450899999999,225.511765,103.111694,521.399902,159.973297,412.56744399999997,271.100006,160.550003,98.497658,93.925072,156.100006,106.45657299999999,169.61218300000002,171.717224,43.328873,198.83331299999998,446.798004,110.599998,39.228024,153.138611,1676.369995
189,211.30000299999998,241.0,774.5447389999999,178.649994,256.200012,237.149994,700.78363,247.899994,188.43528700000002,77.954826,218.565399,101.574196,520.401001,159.23646499999998,406.529419,269.100006,157.75,98.595566,92.978798,154.75,106.409172,168.550003,168.68692,42.915852,198.293259,444.45364400000005,107.0,38.603859,151.97773700000002,1662.359985
190,209.899994,242.399994,774.744446,180.050003,256.049988,237.19999700000002,708.6688230000001,247.850006,187.233551,78.686157,219.44593799999998,100.235085,527.193176,158.441437,406.33145099999996,270.299988,157.800003,99.183029,93.44725,155.899994,106.78836100000001,169.757034,166.426224,42.867825,197.753189,448.45861799999994,107.800003,38.244488,152.364685,1667.449951
191,207.800003,241.399994,771.349854,179.949997,256.049988,237.0,708.6688230000001,253.5,189.108292,78.547798,218.17407200000002,99.491135,524.196655,157.74336200000002,405.143616,268.299988,157.050003,97.959152,92.753937,155.25,105.745598,169.467346,164.309814,43.165585,196.763077,446.700317,108.349998,38.282318,151.155441,1656.900024
192,209.80000299999998,247.0,780.335327,183.949997,260.950012,240.399994,723.6407469999999,253.600006,191.36758400000002,79.358177,223.555038,101.574196,530.3895259999999,163.095215,413.161377,271.200012,158.649994,98.448708,89.680878,158.699997,104.93982700000001,171.688278,166.233826,43.837944,185.42173799999998,455.68707300000005,108.949997,38.821369,155.605469,1665.140015
193,208.199997,245.899994,760.5673830000001,181.850006,255.75,234.75,715.3563230000001,252.5,190.358124,79.674423,220.61996499999998,98.082581,525.195496,163.153381,409.201996,268.899994,156.199997,96.813599,89.905739,155.800003,104.513245,169.177658,163.588318,43.107956,182.72142,445.137421,108.849998,38.679516,152.848389,1648.959961
194,206.399994,245.80000299999998,739.801025,182.149994,251.0,229.850006,709.167908,247.75,187.377747,77.875771,221.40264900000003,97.16999799999999,513.009521,163.832047,405.044647,266.600006,152.600006,97.459808,90.280502,153.649994,104.039261,168.01890600000002,160.702316,42.253098,180.11113,449.337738,107.199997,38.764629,150.333145,1634.859985
195,203.5,237.19999700000002,746.39032,181.5,248.350006,226.75,695.493591,246.899994,187.574219,77.006088,221.109146,93.55935699999999,500.024475,164.20047,399.204529,264.5,152.649994,97.63604699999999,89.774574,151.899994,102.001129,166.860153,160.125107,41.974545,178.805954,450.021545,108.900002,38.698425,148.88206499999998,1621.189941
196,204.199997,239.69999700000002,757.3724980000001,180.550003,247.69999700000002,226.44999700000002,694.595337,252.30000299999998,190.22648600000002,78.686157,222.283173,93.40065,502.621521,164.510727,399.699463,263.600006,154.0,95.951988,88.51911899999999,153.75,101.906334,168.984528,160.798508,42.329937,177.905853,446.895691,108.599998,38.991596,149.704346,1624.48999
