,ABB.ST.csv_AdjClose,ABB.ST.csv_Volume,ALFA.ST.csv_AdjClose,ALFA.ST.csv_Volume,ALIV-SDB.ST.csv_AdjClose,ALIV-SDB.ST.csv_Volume,ASSA-B.ST.csv_AdjClose,ASSA-B.ST.csv_Volume,ATCO-A.ST.csv_AdjClose,ATCO-A.ST.csv_Volume,ATCO-B.ST.csv_AdjClose,ATCO-B.ST.csv_Volume,AZN.ST.csv_AdjClose,AZN.ST.csv_Volume,BOL.ST.csv_AdjClose,BOL.ST.csv_Volume,ELUX-B.ST.csv_AdjClose,ELUX-B.ST.csv_Volume,ERIC-B.ST.csv_AdjClose,ERIC-B.ST.csv_Volume,ESSITY-B.ST.csv_AdjClose,ESSITY-B.ST.csv_Volume,GETI-B.ST.csv_AdjClose,GETI-B.ST.csv_Volume,HEXA-B.ST.csv_AdjClose,HEXA-B.ST.csv_Volume,HM-B.ST.csv_AdjClose,HM-B.ST.csv_Volume,INVE-B.ST.csv_AdjClose,INVE-B.ST.csv_Volume,KINV-B.ST.csv_AdjClose,KINV-B.ST.csv_Volume,SAND.ST.csv_AdjClose,SAND.ST.csv_Volume,SCA-B.ST.csv_AdjClose,SCA-B.ST.csv_Volume,SEB-A.ST.csv_AdjClose,SEB-A.ST.csv_Volume,SECU-B.ST.csv_AdjClose,SECU-B.ST.csv_Volume,SHB-A.ST.csv_AdjClose,SHB-A.ST.csv_Volume,SKA-B.ST.csv_AdjClose,SKA-B.ST.csv_Volume,SKF-B.ST.csv_AdjClose,SKF-B.ST.csv_Volume,SSAB-A.ST.csv_AdjClose,SSAB-A.ST.csv_Volume,SWED-A.ST.csv_AdjClose,SWED-A.ST.csv_Volume,SWMA.ST.csv_AdjClose,SWMA.ST.csv_Volume,TEL2-B.ST.csv_AdjClose,TEL2-B.ST.csv_Volume,TELIA.ST.csv_AdjClose,TELIA.ST.csv_Volume,VOLV-B.ST.csv_AdjClose,VOLV-B.ST.csv_Volume,OMXS30_Close
240,170.850006,1415198,190.350006,1386356,673.849731,594554,160.699997,1898840,205.649994,2205934,192.080002,1000022,693.197937,623153,189.919998,1274258,187.721573,1461166,77.737411,11242498,219.93512,1826759,86.060326,1174417,413.424164,849470,158.100006,3600144,373.100006,1775117,216.5,621659,123.050003,3560191,68.086754,2690850,83.478546,3452658,144.75,1086444,91.023682,4006868,130.214661,1344755,122.655159,1818288,29.545469,4302206,181.28125,2854135,356.246704,864900,110.5,2702915,40.382065,13293367,110.960182,4845841,1435.550049
241,173.850006,1654903,195,1203865,711.019348,438183,164.649994,2632817,213,2520063,199.539993,1069037,707.570923,419981,195.580002,1557364,193.222565,1291949,79.358177,11106339,222.381012,1181311,88.679031,1226604,421.514832,742371,163.119995,5394279,380.299988,1647690,221,586088,126.199997,2980472,70.593246,4032859,84.115639,3737804,146.449997,1216524,93.222961,5453816,133.835754,1950946,125.685463,2855006,30.438749,3617070,183.26149,2864609,359.665558,709699,111.300003,2131845,41.169674,19016036,113.620522,4639332,1465.290039
242,180.949997,3808111,198.800003,1238408,713.817078,301211,166.899994,2078093,221.800003,2863798,206.350006,1225329,710.066223,382640,204.149994,1611829,198.428864,1645222,81.888153,15552243,224.533401,1382038,90.504189,1077024,429.505646,884579,158.240005,6893748,389.799988,1581248,225,722880,129.050003,3997221,73.256409,6342940,86.19558,3318246,148.300003,2034454,96.218544,4888277,138.953552,1521969,128.908173,2497497,31.063086,3407380,187.581985,2682274,357.516541,719507,112.949997,2135615,41.811432,15042540,115.313461,4674237,1494.209961
243,180.5,1897333,197.199997,990185,701.427185,278208,165.600006,1601331,214.199997,2410762,200.149994,1519057,708.070007,340594,203.550003,1890775,194.696045,1258304,81.730026,8412840,224.826904,1064455,88.222748,1085409,425.310455,643747,155.199997,4188813,390,1113200,223.800003,546064,129.350006,3285150,71.161133,6334181,83.178734,8359924,145.699997,1553339,97.356094,5775471,139.001846,905423,128.42717,1589353,30.83256,4018631,184.611649,2659439,362.498352,819629,110.650002,2247599,41.539173,14917291,114.297699,4960936,1478.75
244,178.699997,1185883,194.550003,876520,674.449219,430121,163.149994,1452472,210.5,2153948,196.539993,902679,704.875977,249557,201.649994,1669385,193.026108,1239578,81.235886,6731471,223.261536,1622112,87.528389,738575,414.922424,609138,156.119995,4988086,388.100006,1042374,221.600006,589182,128.399994,3151853,70.789078,2993111,82.635323,5524164,142.800003,1823184,97.545692,4050647,139.194962,1661222,128.186676,1804119,30.630852,3250721,184.521637,2277749,359.567871,726174,110.650002,2909303,42.278164,14475792,113.765633,4016411,1471.670044
245,175.100006,2977060,193.649994,1075531,668.054382,226171,160.25,2052746,209.75,2287754,195.479996,1068003,697.988892,284490,199.699997,1364792,186.641022,1805753,80.306915,8232676,219.348099,1604661,86.060326,844315,413.224396,609017,142.800003,13433029,383.200012,1129030,212.5,1512684,127.300003,2809393,69.986214,2350164,82.466682,3554749,143.949997,1033047,97.213905,3383283,138.22934,864992,127.84996,1860054,30.49638,2744457,182.72142,1967504,352.437073,451568,111.900002,2170598,42.26844,15141794,112.798233,3969337,1451.949951
246,176.649994,1825361,195.949997,838997,666.45575,262670,159.25,2081418,211.850006,1691593,197.380005,871561,694.695068,310516,200.399994,1371691,187.819794,1118917,79.713959,9362881,220.228622,1147059,86.040482,930682,407.730713,764061,138.619995,7288700,381.200012,914187,212.800003,806520,128.300003,3174274,69.712059,2537395,82.16687,4281038,145.199997,1158524,97.261299,5103820,136.732635,1148385,129.389175,1522997,30.640457,2531349,181.01123,3791999,351.753326,962793,111.099998,2066636,41.86005,14468556,113.330307,5028779,1447.790039
247,176.100006,1477431,196.050003,1185683,668.653931,194716,160.5,2245625,209.800003,2020982,194.220001,1456829,692.898499,421045,200.600006,1570516,188.703903,1376268,79.516296,10138385,220.228622,1274934,85.028709,906522,412.025757,674076,136.119995,6220711,386.600006,1364074,215.899994,736498,127.400002,3161209,71.494019,3441763,82.616592,3882509,143.899994,789759,97.213905,4722338,139.098404,1307766,128.42717,2682080,30.928614,2593946,181.731308,3106738,358.786407,581571,112.449997,1925375,42.219822,15864235,114.733025,5533118,1450.109985
248,169.300003,2148765,190,1043625,650.468811,416096,158.350006,1877521,205.300003,1979895,190.360001,1623679,687.708191,554443,192.399994,1890504,186.837479,1194329,77.757179,9109825,213.869293,2022241,82.330643,1083680,406.032654,704758,131.740005,5703475,379.5,1460688,212,993992,125.75,3123121,68.576302,3688269,81.642204,6073864,142.050003,931799,94.843994,3722079,136.249817,1655335,125.300667,2083181,30.054544,4163760,179.931091,4251070,343.450348,681896,107.400002,3952714,41.655853,15988344,112.314537,5169704,1419.01001
249,168.949997,1927780,188.5,1375631,651.667847,267766,157.449997,3085623,206.75,3102942,190.919998,1485765,683.915344,676010,190.179993,2388639,183.743179,1499843,77.025856,18553570,213.477936,2115333,80.069031,1283769,407.630829,1190917,128.600006,10791790,375.100006,1710348,211.899994,989904,124.849998,4621627,67.714691,4013592,80.630341,6219317,141.25,1201031,92.218124,8640793,135.718719,1424461,125.877869,2890585,30.073753,2879866,177.500809,5775282,340.910583,1118714,108.349998,4267196,41.286358,24419874,111.153664,7150345,1408.339966
