Date,ABB.ST_AdjClose,ALFA.ST_AdjClose,ALIV-SDB.ST_AdjClose,ATCO-A.ST_AdjClose,ATCO-B.ST_AdjClose,AZN.ST_AdjClose,BOL.ST_AdjClose,ELUX-B.ST_AdjClose,ERIC-B.ST_AdjClose,GETI-B.ST_AdjClose,HEXA-B.ST_AdjClose,HM-B.ST_AdjClose,INVE-B.ST_AdjClose,KINV-B.ST_AdjClose,SAND.ST_AdjClose,SCA-B.ST_AdjClose,SEB-A.ST_AdjClose,SECU-B.ST_AdjClose,SHB-A.ST_AdjClose,SKA-B.ST_AdjClose,SKF-B.ST_AdjClose,SSAB-A.ST_AdjClose,SWED-A.ST_AdjClose,SWMA.ST_AdjClose,TEL2-B.ST_AdjClose,TELIA.ST_AdjClose,VOLV-B.ST_AdjClose,XOMX30_AdjClose
2003-09-16,36.666309000000005,10.394589999999999,213.975082,14.802351999999999,9.506517,293.01412999999997,16.46797,60.732491,47.481716,38.291615,4.809602,40.336285,44.586124,29.594007,21.977556,0.20422300000000002,20.976896,62.498118999999996,8.993503,26.085892,31.695251000000003,10.473651,38.737446000000006,39.540366999999996,39.348312,16.384767999999998,11.849346,609.530029
2003-09-17,35.914932,10.605648,213.12934900000002,14.655804999999999,9.385142,293.43624900000003,16.030273,59.752964,47.841423,38.22263,4.746652,39.344409999999996,44.89793,29.898496999999995,21.977556,0.20286700000000002,20.858425,62.797176,9.025958000000001,26.085892,31.521421000000004,10.291507000000001,39.23624,39.213581,39.348312,16.478662,11.877897,608.98999
2003-09-18,34.938148,10.605648,209.746323,14.802351999999999,9.425612,294.70285,15.75673,59.916225,47.481716,37.394714,4.784426,39.234211,44.586124,31.116314000000003,22.073526,0.19981300000000002,21.095409,61.900066,8.961029,26.085892,31.753196999999997,10.564744000000001,38.903713,39.867146000000005,40.770512,16.478662,11.735133,608.47998
2003-09-19,34.863014,10.711176,206.786255,14.567878,9.324471,295.125031,15.319042000000001,59.42645600000001,45.683159,37.463692,4.809602,38.462749,44.274345000000004,31.664368,21.737621,0.198456,21.095409,61.30198299999999,8.993503,25.615875,30.536369,10.61027,39.23624,40.520695,41.481659,16.431713000000002,11.678032,603.030029
2003-09-22,35.689522,10.289063,200.86601299999998,14.069579000000001,8.940176,289.636322,14.334267,57.630653,44.244324,37.118717,4.7340599999999995,37.691288,43.027167999999996,30.933671999999998,21.257765,0.194046,20.739906,59.50778199999999,8.798697,25.615875,29.551327,10.428124,38.903713,39.540366999999996,40.474247,16.103081,11.192635000000001,589.3599849999999
2003-09-23,34.637596,10.236296000000001,202.557541,14.128198000000001,9.000847,287.94751,14.279572,57.957161,43.524906,36.290797999999995,4.7340599999999995,38.242321000000004,42.403584,30.446547,21.305754,0.19506400000000002,20.739906,58.311657,8.798697,25.145858999999998,29.898993,10.382558,38.571182,39.867146000000005,40.829788,16.431713000000002,11.021317999999999,588.080017
2003-09-24,35.013279,10.236296000000001,202.980408,13.923035999999998,8.839034,281.192078,14.005962,57.793915000000005,42.086059999999996,35.255928000000004,4.6585160000000005,38.132114,42.403584,31.055459999999997,21.11381,0.194725,20.858425,58.909718000000005,8.66882,23.970821,29.261604,10.291507000000001,38.404922,39.213581,41.007538000000004,16.150028,10.792896,581.219971
2003-09-25,33.961357,9.972475,199.597397,13.65921,8.697455,280.347717,14.005962,56.161362,41.366638,35.324909000000005,4.482248,38.793365,41.468224,30.811891999999997,20.729919,0.19235,20.384357,57.713581000000005,8.60389,24.440842,28.798063,10.154888,38.404922,39.540366999999996,41.244617,15.962238000000001,10.650133,576.780029
2003-09-26,32.083012,10.025238,202.557541,13.893682,8.798565,283.725372,14.334267,56.651118999999994,41.726349,34.910957,4.532614,39.675034000000004,42.091801000000004,30.629186999999998,21.017834,0.192689,20.384357,56.517452,8.60389,24.440842,29.7831,10.245981,38.737446000000006,39.540366999999996,41.659401,16.243921,10.678686,581.650024
2003-09-29,32.458702,9.972475,200.86601299999998,13.835063,8.8188,279.925476,14.170113,55.998104000000005,41.366638,35.600914,4.5452069999999996,39.123989,40.844639,30.750971000000003,20.681932,0.192689,20.502872,56.816483,8.538943,23.735815,29.261604,10.291507000000001,38.238701,39.213581,40.889019,16.056135,10.535922,575.6099849999999
2003-09-30,31.857595,9.603124000000001,196.637283,13.307455,8.434505,280.347717,13.787118,55.01857,40.647221,35.531857,4.5452069999999996,38.683155,40.221053999999995,30.38562,20.346031,0.189975,20.028805,56.21841,8.538943,23.12479,28.276566,10.154888,38.07243,38.560028,40.059418,15.774446,10.221845,567.02002
2003-10-01,32.834377,9.814181,200.44311499999998,13.307455,8.353598,284.569794,14.170113,55.345085,40.647221,36.704754,4.513726999999999,38.572945000000004,41.156433,30.446547,20.777905,0.195403,20.265835,56.517452,8.733749000000001,23.735815,28.740115999999997,10.018272999999999,38.238701,39.540366999999996,40.059418,15.727501,10.478819,572.5599980000001
2003-10-02,32.15815,9.497595,201.288849,13.688516,8.61655,284.992035,14.060723999999999,54.528587,41.366638,37.808678,4.482248,38.242321000000004,40.844639,29.563549,21.017834,0.189975,20.147322,55.620338000000004,8.60389,23.500807000000002,28.334507000000002,10.245981,37.57365,39.540366999999996,40.059418,15.304966,10.678686,570.3900150000001
2003-10-03,33.660896,9.866945,204.671875,14.450644,9.142424,299.347229,14.717266,57.304138,43.884613,38.015685999999995,4.457072,39.013783000000004,43.650764,30.446547,21.737621,0.194725,20.858425,57.115528000000005,8.766222,24.205832,30.072824,10.291507000000001,38.737446000000006,39.540366999999996,41.363136,15.727501,11.135529,591.23999
2003-10-06,33.660896,10.025238,203.826096,14.42133,9.081752,294.70285,14.936042,57.14088100000001,44.963741,37.601723,4.532614,39.013783000000004,42.715382,31.116314000000003,21.785612,0.194725,20.858425,57.41455799999999,8.831151,24.205832,29.609276,10.291507000000001,38.737446000000006,39.213581,42.607582,15.586657,11.221186999999999,590.98999
2003-10-07,33.210079,9.761417,202.980408,14.157507999999998,8.940176,289.214203,15.483193,57.14088100000001,46.042866,38.084671,4.507432,38.462749,42.403584,31.055459999999997,21.401722,0.194385,20.739906,57.115528000000005,8.733749000000001,23.500807000000002,29.203669,10.291507000000001,38.737446000000006,39.213581,42.84462,15.774446,10.964211,589.72998
2003-10-08,33.285206,10.130769,204.671875,14.186813,8.960377000000001,287.10305800000003,15.319042000000001,57.630653,47.122005,38.291615,4.532614,38.462749,42.403584,31.664368,21.449710999999997,0.193028,20.739906,58.311657,8.766222,23.500807000000002,28.856007,10.337032,38.903713,38.886803,42.963135,16.056135,10.935659,592.960022
2003-10-09,34.412186,10.289063,205.517639,14.274741,9.061516000000001,293.01412999999997,15.483193,57.793915000000005,47.841423,38.084671,4.532614,38.352534999999996,43.338966,33.186733000000004,21.881582,0.196082,21.095409,59.208755000000004,8.831151,23.970821,28.856007,10.473651,39.23624,39.213581,43.970551,16.478662,10.992766,601.75
2003-10-10,34.412186,10.078003,205.94043,14.304051000000001,9.081752,290.903015,15.209651999999998,56.977633999999995,47.122005,38.636593,4.532614,38.793365,43.027167999999996,32.882244,21.785612,0.194046,20.976896,58.909718000000005,8.701296000000001,24.205832,29.087771999999998,10.382558,39.069977,38.233242,42.903853999999995,16.150028,10.964211,596.210022
2003-10-13,34.111633000000005,10.289063,208.477798,14.597188000000001,9.304235,294.28070099999997,16.030273,57.14088100000001,49.639977,38.774563,4.582974,39.123989,44.274345000000004,33.369377,21.785612,0.198456,21.095409,58.909718000000005,8.831151,24.440842,29.551327,10.382558,39.568718,38.233242,43.377972,16.243921,11.164082,605.330017
2003-10-14,33.811085,10.658412,208.90065,15.154103,9.688533999999999,295.125031,16.413273,57.630653,49.639977,38.498631,4.532614,39.234211,43.962543,34.343693,22.505398,0.19811700000000002,21.332441,60.10585,8.798697,24.675846,32.042912,10.564744000000001,40.067513,38.560028,44.089062,16.33782,11.249741,610.6900019999999
2003-10-15,33.510525,10.552883,211.43789700000002,15.18341,9.688533999999999,296.81393399999996,16.413273,59.42645600000001,51.078808,38.498631,4.532614,37.140236,44.89793,34.891743,22.553389000000003,0.199474,21.687994,60.404883999999996,8.928552999999999,25.145858999999998,31.695251000000003,10.746886,40.898865,38.560028,43.91127,16.290871,11.449607,615.080017
2003-10-16,33.510525,10.500117999999999,208.90065,15.066177,9.607626,298.502747,16.413273,59.42645600000001,48.920547,40.154472,4.507432,37.581078000000005,43.962543,35.013531,22.217485,0.19811700000000002,21.450964000000003,58.012627,8.896099000000001,24.675846,31.347584,10.701319,40.566421999999996,38.560028,43.852036,16.431713000000002,11.306842999999999,609.669983
2003-10-17,33.510525,10.500117999999999,211.01499900000002,15.007557,9.546953,306.524811,16.358576,58.610195,49.639977,40.154472,4.520022,36.258575,44.274345000000004,35.622440000000005,22.217485,0.196759,21.332441,58.61068,8.831151,24.675846,31.173759000000004,10.701319,40.23357,38.560028,43.318690999999994,16.478662,11.363951,610.02002
2003-10-20,32.909527000000004,10.500117999999999,212.706497,15.124795,9.627862,309.058075,16.632116,58.283671999999996,48.920547,41.396355,4.532614,36.589195000000004,44.586124,35.622440000000005,22.169497,0.196082,21.925034,58.61068,9.025958000000001,24.910849,31.173759000000004,10.61027,41.064899,38.886803,43.970551,16.572559,11.335397,613.02002
2003-10-21,31.557037,10.394589999999999,207.632034,14.890278,9.466047999999999,307.791443,16.850969,53.549004000000004,48.560844,40.568428000000004,4.532614,36.699406,44.586124,36.7794,21.785612,0.19506400000000002,21.687994,58.61068,8.766222,24.910849,30.826096999999997,10.564744000000001,40.399998,38.886803,45.570538,16.807297,11.078424,608.1099849999999
2003-10-22,30.880809999999997,10.236296000000001,202.557541,14.597188000000001,9.263799,301.88052400000004,17.069810999999998,51.916393,47.122005,38.912594,4.532614,36.148361,42.715382,35.926914000000004,21.401722,0.193028,20.739906,55.919388,8.636348,23.970821,30.536369,10.154888,39.901249,38.233242,44.326099,16.431713000000002,10.935659,594.3099980000001
2003-10-23,32.233284000000005,10.289063,205.517639,14.890278,9.445814,314.968933,17.398046,53.059235,46.042866,39.533501,4.532614,35.817741,43.962543,36.596756,21.833597,0.192689,21.213926,56.21841,8.733749000000001,24.675846,30.130764000000003,10.245981,40.732445,41.82782,44.563133,16.33782,11.992108,600.72998
2003-10-24,30.354846999999996,10.183533,205.94043,15.124795,9.627862,314.968933,16.413273,52.895984999999996,48.201126,39.602551,4.507432,36.258575,43.027167999999996,36.596756,22.073526,0.191332,20.739906,55.919388,8.733749000000001,24.440842,29.956938,10.291507000000001,41.231312,42.154598,45.037197,16.384767999999998,12.020658000000001,605.590027
2003-10-27,29.904018,10.447353999999999,205.094696,15.447191,9.830142,320.035492,16.577427,53.549004000000004,48.201126,39.94746,4.620748000000001,37.140236,43.650764,37.327446,22.361439,0.190653,21.332441,56.21841,8.831151,24.910849,30.884028999999998,10.291507000000001,42.062626,41.82782,45.274231,16.854246,12.391845,614.77002
2003-10-28,32.383568,10.816705,209.323502,15.769635000000001,10.07286,319.613342,16.960356,52.73273100000001,49.280258,39.809490000000004,4.6585160000000005,36.589195000000004,43.650764,38.058132,22.697344,0.19201,21.450964000000003,57.41455799999999,8.928552999999999,25.380871,31.115812,10.245981,42.561493,42.481388,46.637188,17.37067,12.306186,622.030029
2003-10-29,33.510525,10.500117999999999,210.59213300000002,15.652398000000002,9.971718,317.080109,17.015114,53.222488,49.999676,40.016514,4.7340599999999995,36.589195000000004,44.274345000000004,38.058132,22.409428,0.194046,21.687994,58.012627,8.863626,25.380871,31.405527000000003,10.337032,42.727515999999994,41.82782,46.874279,16.33782,12.334739,618.5599980000001
2003-10-30,34.261902,10.658412,214.397964,15.798945000000002,10.093062,318.346619,17.562199,52.569472999999995,48.560844,39.740509,4.532614,36.919827000000005,43.962543,38.667107,22.217485,0.195403,21.925034,57.41455799999999,8.993503,25.380871,31.753196999999997,10.428124,43.725258000000004,41.82782,47.822395,16.056135,12.648819,620.280029
2003-10-31,34.337047999999996,10.869472,217.35812400000003,16.062777,10.315578,312.85794100000004,17.835736999999998,52.242912,48.201126,39.395527,4.6585160000000005,36.478989,43.650764,38.606186,22.265476,0.19981300000000002,22.280582,57.41455799999999,8.928552999999999,25.380871,31.984962,10.382558,43.226383,41.501045,46.518723,16.009182,12.448949,617.570007
2003-11-03,35.313835,10.974998,219.89540099999996,16.267935,10.396485,314.124573,18.109282,53.38574200000001,47.481716,40.775444,4.608157,36.589195000000004,44.89793,38.971523,22.553389000000003,0.20286700000000002,22.280582,58.909718000000005,9.025958000000001,26.320902,32.100853,10.428124,43.226383,41.82782,46.814995,16.056135,12.763028,622.090027
2003-11-04,34.787872,10.552883,217.78100600000002,15.974797,10.194204,309.480225,17.890435999999998,52.569472999999995,47.122005,40.775444,4.771833999999999,36.699406,44.586124,39.093311,22.457413,0.200152,22.043549,58.909718000000005,9.025958000000001,27.260933,32.100853,10.473651,43.226383,43.134937,47.407565999999996,16.056135,12.591712,619.159973
