ABB.ST.csv_AdjClose,ALFA.ST.csv_AdjClose,ALIV-SDB.ST.csv_AdjClose,ASSA-B.ST.csv_AdjClose,ATCO-A.ST.csv_AdjClose,ATCO-B.ST.csv_AdjClose,AZN.ST.csv_AdjClose,BOL.ST.csv_AdjClose,ELUX-B.ST.csv_AdjClose,ERIC-B.ST.csv_AdjClose,ESSITY-B.ST.csv_AdjClose,GETI-B.ST.csv_AdjClose,HEXA-B.ST.csv_AdjClose,HM-B.ST.csv_AdjClose,INVE-B.ST.csv_AdjClose,KINV-B.ST.csv_AdjClose,SAND.ST.csv_AdjClose,SCA-B.ST.csv_AdjClose,SEB-A.ST.csv_AdjClose,SECU-B.ST.csv_AdjClose,SHB-A.ST.csv_AdjClose,SKA-B.ST.csv_AdjClose,SKF-B.ST.csv_AdjClose,SSAB-A.ST.csv_AdjClose,SWED-A.ST.csv_AdjClose,SWMA.ST.csv_AdjClose,TEL2-B.ST.csv_AdjClose,TELIA.ST.csv_AdjClose,VOLV-B.ST.csv_AdjClose,XOMX30.csv_AdjClose
198.604233,191.320984,1228.540649,180.472305,262.625031,229.148651,555.909729,273.252686,257.045868,54.414543,216.762772,104.709145,495.598724,126.487633,362.679565,275.769653,145.551529,81.194878,85.136002,138.976868,104.408058,147.364349,157.912674,45.588852,175.817215,348.935394,96.814995,36.307487,142.414688,1578.150024
196.711823,191.419052,1233.526611,181.110703,265.071289,231.910049,551.123352,281.032806,254.491486,54.239952,219.145844,104.952988,491.308228,127.856781,364.328125,278.909302,146.77301,81.983734,85.786041,139.560394,104.498138,147.233505,160.009476,45.353664,177.499664,349.888794,96.168594,36.371742,142.649689,1585.310059
197.658035,194.067444,1221.560303,181.0616,269.592621,236.41626,554.31427,279.230072,257.991913,54.569736,217.620697,105.684547,491.507813,123.618034,369.758575,281.495483,150.38858,82.002968,85.856308,139.852173,103.867554,149.501984,162.432449,45.720558,176.826691,352.748901,95.223114,36.491089,145.046768,1592.280029
197.907028,192.056641,1218.07019,178.016891,267.665619,234.672424,560.995117,281.222565,257.424316,54.10416,214.761017,104.514069,488.514465,123.111633,369.176788,282.510925,149.020538,83.657654,86.559036,139.317261,103.597298,149.850967,162.199478,45.353664,177.163193,348.74472,95.454666,36.417645,143.119705,1573.47998
194.520599,190.143921,1209.593994,177.034729,263.218323,229.730255,561.693176,274.580994,255.153748,53.153603,213.045227,103.148506,484.223969,121.123543,360.643097,280.109528,145.69812,82.483986,84.608955,137.129028,101.61544,148.149597,157.539902,44.074238,173.041153,345.312622,94.489891,36.169788,140.48761,1547.410034
196.164017,192.645157,1217.072876,176.445435,266.554047,232.418839,567.17749,273.537323,257.329681,52.726822,212.091995,101.344017,485.221771,120.317047,362.097687,281.033508,147.554764,82.17614,83.958931,137.274902,100.669548,147.756989,163.131393,44.83625,173.461761,344.835907,94.451302,35.609798,142.837692,1551.969971
196.064423,192.498032,1236.019531,174.824875,266.256897,231.619736,568.97229,277.23764,255.248337,53.173004,210.852814,94.301636,489.61203,120.448341,361.903809,279.094086,148.825104,82.272339,83.291336,137.177658,99.678619,147.538864,162.106277,45.607666,172.368164,344.835907,94.354828,35.683235,142.555664,1549.699951
192.379181,189.310165,1219.565918,172.025696,260.326874,227.259171,566.579163,270.50119,250.801834,52.106052,208.755722,91.277893,481.829315,118.872864,355.115692,272.167023,145.844681,81.252602,81.060158,134.600403,94.569084,145.924744,160.335648,44.469357,167.194611,344.931213,93.312866,35.279312,139.218582,1515.839966
191.83139,189.408264,1207.599609,171.092651,258.547943,226.095947,565.681763,271.165314,252.410141,52.319439,209.994904,90.907242,479.235077,121.19857,351.915527,268.10437,145.453812,82.734116,81.499367,135.232574,95.460167,145.35762,161.314163,42.907711,166.924576,345.693939,93.833847,35.683235,139.265579,1513.180054
189.042557,187.299362,1204.608032,168.489929,256.101685,224.860916,561.693176,269.742126,246.449936,50.806309,209.327667,90.322006,476.740631,119.435539,349.879089,268.380585,143.157425,82.910355,80.902039,133.822388,94.398445,144.659622,158.797974,42.74778,166.114487,345.503265,92.135841,35.104889,137.150513,1496.589966
