Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,1528.199951,1546.160034,1528.199951,1542.329956,1542.329956,0
2019-02-12,1543.849976,1551.989990,1542.790039,1549.410034,1549.410034,0
2019-02-13,1550.430054,1562.229980,1549.569946,1558.579956,1558.579956,0
2019-02-14,1559.550049,1570.619995,1557.579956,1562.359985,1562.359985,0
2019-02-15,1561.949951,1584.459961,1555.979980,1583.819946,1583.819946,0
2019-02-18,1583.449951,1588.819946,1576.660034,1583.859985,1583.859985,0
2019-02-19,1584.020020,1591.959961,1581.729980,1587.219971,1587.219971,0
2019-02-20,1587.550049,1591.359985,1578.739990,1588.609985,1588.609985,0
2019-02-21,1585.819946,1591.260010,1572.650024,1572.650024,1572.650024,0
2019-02-22,1573.010010,1591.810059,1573.010010,1588.829956,1588.829956,0
2019-02-25,1590.520020,1598.089966,1581.089966,1586.550049,1586.550049,0
2019-02-26,1585.209961,1589.229980,1577.160034,1583.949951,1583.949951,0
2019-02-27,1583.170044,1583.170044,1573.239990,1576.550049,1576.550049,0
2019-02-28,1576.979980,1577.420044,1558.050049,1572.680054,1572.680054,0
2019-03-01,1574.300049,1585.579956,1573.859985,1580.219971,1580.219971,0
2019-03-04,1580.699951,1592.680054,1580.290039,1587.790039,1587.790039,0
2019-03-05,1587.949951,1590.410034,1575.579956,1587.969971,1587.969971,0
2019-03-06,1588.060059,1588.060059,1571.459961,1572.630005,1572.630005,0
2019-03-07,1572.479980,1575.500000,1553.140015,1558.910034,1558.910034,0
2019-03-08,1558.329956,1559.050049,1546.709961,1558.630005,1558.630005,0
2019-03-11,1559.219971,1571.260010,1558.719971,1569.930054,1569.930054,0
2019-03-12,1572.270020,1577.520020,1563.839966,1565.560059,1565.560059,0
2019-03-13,1565.329956,1574.199951,1561.180054,1572.800049,1572.800049,0
2019-03-14,1572.859985,1590.760010,1572.829956,1590.760010,1590.760010,0
2019-03-15,1590.760010,1597.609985,1582.250000,1595.760010,1595.760010,0
2019-03-18,1595.920044,1607.540039,1595.920044,1605.010010,1605.010010,0
2019-03-19,1605.800049,1622.329956,1604.319946,1615.140015,1615.140015,0
2019-03-20,1614.579956,1619.750000,1605.989990,1605.989990,1605.989990,0
2019-03-21,1605.310059,1610.040039,1595.449951,1605.030029,1605.030029,0
2019-03-22,1606.000000,1610.369995,1576.869995,1576.869995,1576.869995,0
2019-03-25,1576.819946,1578.630005,1563.229980,1573.660034,1573.660034,0
2019-03-26,1574.589966,1576.030029,1565.500000,1574.160034,1574.160034,0
2019-03-27,1575.000000,1579.650024,1560.489990,1565.849976,1565.849976,0
2019-03-28,1565.439941,1571.170044,1553.800049,1559.319946,1559.319946,0
2019-03-29,1561.310059,1564.300049,1545.189941,1553.420044,1553.420044,0
2019-04-01,1554.920044,1580.979980,1554.920044,1580.329956,1580.329956,0
2019-04-02,1580.660034,1598.709961,1577.589966,1593.949951,1593.949951,0
2019-04-03,1596.040039,1622.380005,1596.040039,1622.380005,1622.380005,0
2019-04-04,1622.750000,1622.750000,1608.939941,1616.239990,1616.239990,0
2019-04-05,1616.359985,1624.280029,1616.260010,1622.270020,1622.270020,0
2019-04-08,1621.900024,1624.520020,1615.760010,1624.520020,1624.520020,0
2019-04-09,1625.369995,1633.829956,1614.010010,1616.560059,1616.560059,0
2019-04-10,1616.150024,1628.739990,1615.329956,1628.550049,1628.550049,0
2019-04-11,1626.780029,1633.089966,1620.979980,1627.030029,1627.030029,0
2019-04-12,1627.020020,1642.959961,1625.359985,1641.209961,1641.209961,0
2019-04-15,1641.209961,1644.979980,1637.140015,1642.630005,1642.630005,0
2019-04-16,1642.160034,1654.099976,1642.160034,1647.520020,1647.520020,0
2019-04-17,1647.689941,1660.619995,1645.349976,1660.140015,1660.140015,0
2019-04-18,1660.969971,1673.030029,1654.550049,1670.739990,1670.739990,0
2019-04-23,1670.500000,1673.800049,1661.390015,1672.180054,1672.180054,0
2019-04-24,1672.099976,1686.400024,1670.410034,1680.719971,1680.719971,0
2019-04-25,1678.969971,1700.349976,1668.430054,1689.420044,1689.420044,0
2019-04-26,1689.900024,1693.050049,1680.910034,1689.040039,1689.040039,0
2019-04-29,1689.760010,1694.189941,1684.319946,1693.310059,1693.310059,0
2019-04-30,1691.329956,1691.430054,1675.969971,1676.140015,1676.140015,0
2019-05-02,1675.760010,1675.760010,1662.280029,1665.449951,1665.449951,0
2019-05-03,1664.939941,1676.900024,1664.050049,1672.329956,1672.329956,0
2019-05-06,1665.890015,1665.890015,1627.199951,1649.219971,1649.219971,0
2019-05-07,1647.849976,1653.000000,1613.349976,1617.849976,1617.849976,0
2019-05-08,1617.250000,1624.770020,1611.500000,1623.369995,1623.369995,0
2019-05-09,1622.449951,1622.449951,1593.839966,1596.689941,1596.689941,0
2019-05-10,1597.130005,1615.609985,1593.469971,1603.369995,1603.369995,0
2019-05-13,1603.180054,1603.239990,1572.849976,1573.839966,1573.839966,0
2019-05-14,1574.400024,1591.119995,1574.400024,1590.819946,1590.819946,0
2019-05-15,1591.140015,1597.959961,1574.770020,1593.319946,1593.319946,0
2019-05-16,1593.280029,1615.380005,1586.250000,1615.380005,1615.380005,0
2019-05-17,1614.439941,1614.439941,1591.060059,1606.859985,1606.859985,0
